Date,Time,Vehicle,Location,Result,Detail
18/03/2026,06:49:12,Vehicle 1,Brisbane,No earlier slots,
18/03/2026,06:49:12,Vehicle 1,Burleigh Heads,No earlier slots,
18/03/2026,06:49:12,Vehicle 1,Narangba,No earlier slots,
18/03/2026,06:49:12,Vehicle 1,Yatala,No earlier slots,
18/03/2026,06:49:34,Vehicle 2,Brisbane,No earlier slots,
18/03/2026,06:49:34,Vehicle 2,Burleigh Heads,No earlier slots,
18/03/2026,06:49:34,Vehicle 2,Narangba,No earlier slots,
18/03/2026,06:49:34,Vehicle 2,Yatala,No earlier slots,
18/03/2026,06:58:42,Vehicle 1,Brisbane,No earlier slots,
18/03/2026,06:58:42,Vehicle 1,Burleigh Heads,No earlier slots,
18/03/2026,06:58:42,Vehicle 1,Narangba,No earlier slots,
18/03/2026,06:58:42,Vehicle 1,Yatala,No earlier slots,
18/03/2026,06:59:51,Vehicle 2,Brisbane,No earlier slots,
18/03/2026,06:59:51,Vehicle 2,Burleigh Heads,No earlier slots,
18/03/2026,06:59:51,Vehicle 2,Narangba,No earlier slots,
18/03/2026,06:59:51,Vehicle 2,Yatala,No earlier slots,
18/03/2026,21:19:17,Vehicle 1,Brisbane,No earlier slots,
18/03/2026,21:19:17,Vehicle 1,Burleigh Heads,No earlier slots,
18/03/2026,21:19:17,Vehicle 1,Narangba,No earlier slots,
18/03/2026,21:19:17,Vehicle 1,Yatala,No earlier slots,
18/03/2026,21:20:28,Vehicle 2,Brisbane,No earlier slots,
18/03/2026,21:20:28,Vehicle 2,Burleigh Heads,No earlier slots,
18/03/2026,21:20:28,Vehicle 2,Narangba,No earlier slots,
18/03/2026,21:20:28,Vehicle 2,Yatala,No earlier slots,
18/03/2026,21:25:22,Vehicle 1,Brisbane,No earlier slots,
18/03/2026,21:25:22,Vehicle 1,Burleigh Heads,No earlier slots,
18/03/2026,21:25:22,Vehicle 1,Narangba,No earlier slots,
18/03/2026,21:25:22,Vehicle 1,Yatala,No earlier slots,
18/03/2026,21:26:32,Vehicle 2,Brisbane,No earlier slots,
18/03/2026,21:26:32,Vehicle 2,Burleigh Heads,No earlier slots,
18/03/2026,21:26:32,Vehicle 2,Narangba,No earlier slots,
18/03/2026,21:26:32,Vehicle 2,Yatala,No earlier slots,
18/03/2026,21:33:02,Vehicle 1,Brisbane,No earlier slots,
18/03/2026,21:33:02,Vehicle 1,Burleigh Heads,No earlier slots,
18/03/2026,21:33:02,Vehicle 1,Narangba,No earlier slots,
